Id,Title,User Story (Cómo (rol) / Quiero (eventos) / Para (funcionalidad) ),Acceptance Criteria,Story Points,Sprint,Prerequisites,Dependencies,Comments,Desglose de Tareas,Estimación de Tareas (horas),Prioridad,Responsable Técnico,Estado Tarea,Bloqueos
1,Autenticación de guardias,Como Guardia quiero autenticarme con usuario y contraseña para acceder al sistema de control,"Sistema valida credenciales, manejo de errores, interfaz de login funcional",5,Sprint 1,Base de datos usuarios,-,RF001.1 - Funcionalidad core,1. Diseñar interfaz de login 2. Implementar validación de credenciales 3. Configurar sesiones de usuario 4. Pruebas de seguridad,16h,Crítica,Senior Mobile Developer (iOS/Android),En Progreso,Ninguno
2,Manejo de roles,Como Sistema quiero distinguir roles Guardia y Administrador para controlar acceso a funcionalidades,"Identificación de rol post-login, interfaz adaptativa, restricciones por rol",3,Sprint 1,Sistema de autenticación,US001,RF001.2 - Base para permisos,1. Crear tabla de roles en BD 2. Implementar middleware de autorización 3. Adaptar UI por roles,12h,Crítica,Mobile Software Architect (iOS/Android),Pendiente,US001
3,Logout seguro,Como Usuario quiero cerrar sesión de forma segura para proteger mi cuenta,"Botón logout visible, limpieza de sesión, redirección a login",2,Sprint 1,Sistema de sesiones,US001,RF001.3 - Seguridad básica,1. Implementar función logout 2. Limpiar datos de sesión 3. Redireccionar a login,8h,Media,Senior Mobile Developer (iOS/Android),Pendiente,US001
4,Sesión configurable,Como Administrador quiero configurar tiempo de sesión activa para balancear seguridad y usabilidad,"Configuración por admin, auto-logout por tiempo, notificación previa",5,Sprint 1,Panel admin,"US001, US002",RF001.4 - Configuración avanzada,1. Crear configuración de timeout 2. Implementar auto-logout 3. Agregar notificaciones previas 4. Panel de configuración admin,20h,Media,Mobile Software Architect (iOS/Android),Pendiente,"US001, US002"
5,Cambio de contraseña,Como Usuario quiero cambiar mi contraseña para mantener mi cuenta segura,"Validación contraseña actual, nueva contraseña segura, confirmación",3,Sprint 1,Sistema autenticación,US001,RF001.5 - Gestión personal,1. Formulario cambio contraseña 2. Validaciones de seguridad 3. Encriptación y almacenamiento,12h,Baja,Mid Tester,Pendiente,US001
6,Registrar guardias,Como Administrador quiero registrar nuevos guardias para ampliar el equipo de seguridad,"Formulario registro, validación datos, asignación credenciales",5,Sprint 2,Panel admin funcional,US002,RF002.1 - Gestión de personal,1. Diseñar formulario registro 2. Validaciones de datos 3. Generación automática credenciales 4. Notificación al nuevo usuario,20h,Alta,Senior Mobile Developer (iOS/Android),Pendiente,US002
7,Activar/desactivar guardias,Como Administrador quiero activar/desactivar cuentas de guardias para controlar acceso al sistema,"Toggle activación, bloqueo de acceso, notificación al usuario",3,Sprint 2,Lista de guardias,US006,RF002.2 - Control de acceso,1. Implementar toggle activación 2. Bloqueo de acceso en BD 3. Sistema de notificaciones,12h,Media,Mid Tester,Pendiente,US006
8,Asignar puntos de control,Como Administrador quiero asignar guardias a puntos específicos para organizar la cobertura de seguridad,"Lista puntos control, asignación múltiple, visualización asignaciones",8,Sprint 2,Catálogo puntos control,US006,RF002.3 - Organización territorial,1. CRUD puntos de control 2. Interface asignación múltiple 3. Mapa visual de asignaciones 4. Validaciones de conflictos,32h,Alta,Mobile Software Architect (iOS/Android),Pendiente,US006
9,Modificar datos guardias,Como Administrador quiero modificar datos de guardias para mantener información actualizada,"Formulario edición, validación cambios, historial modificaciones",5,Sprint 2,Sistema guardias,US006,RF002.4 - Mantenimiento datos,1. Formulario edición guardia 2. Validaciones de integridad 3. Log de cambios históricos 4. Interfaz de historial,20h,Media,Senior Mobile Developer (iOS/Android),Pendiente,US006
10,Reportes actividad guardias,Como Administrador quiero generar reportes de actividad para supervisar desempeño del equipo,"Reporte por periodo, métricas actividad, exportación PDF",8,Sprint 3,Datos históricos,US006,RF002.5 - Analytics básico,1. Query builder para reportes 2. Generación de métricas 3. Exportación PDF 4. Programación automática,32h,Media,Scrum Master,Pendiente,US006
11,Conexión BD estudiantes,Como Sistema quiero conectar con BD existente para validar datos estudiantiles,"Conexión estable, consulta tiempo real, manejo errores conexión",8,Sprint 1,Acceso BD universidad,-,RF003.1 - Integración crítica,1. Configurar connection string 2. Implementar pool de conexiones 3. Manejo de errores y reconexión 4. Pruebas de rendimiento,32h,Crítica,Mobile Software Architect (iOS/Android),En Progreso,Acceso BD universidad
12,Sincronización datos estudiantes,Como Sistema quiero sincronizar automáticamente datos para mantener información actualizada,"Sync programado, detección cambios, log sincronización",8,Sprint 2,Conexión BD estable,US011,RF003.2 - Automatización,1. Scheduler de sincronización 2. Detección de cambios (CDC) 3. Log de sincronización 4. Manejo de conflictos,32h,Alta,Mobile Software Architect (iOS/Android),Pendiente,US011
13,Consultar estado estudiante,Como Sistema quiero verificar estado activo/inactivo para validar elegibilidad de acceso,"Query estado en tiempo real, cache temporal, indicador visual",5,Sprint 1,Conexión BD,US011,RF003.3 - Validación básica,1. API consulta estado 2. Implementar caché Redis 3. Indicadores visuales UI 4. Optimización queries,20h,Alta,Senior Mobile Developer (iOS/Android),Pendiente,US011
14,Obtener datos básicos,"Como Guardia quiero ver ID, nombre y carrera para identificar al estudiante","Display datos claros, formato consistente, carga rápida",3,Sprint 1,API datos estudiantes,US011,RF003.4 - Interface básica,1. API datos básicos estudiante 2. Componente UI display 3. Formateo de datos 4. Optimización carga,12h,Media,Mid Tester,Pendiente,US011
15,Verificar vigencia matrícula,Como Sistema quiero verificar vigencia de matrícula para autorizar solo estudiantes activos,"Consulta vigencia automática, indicador visual claro, manejo expirados",5,Sprint 1,Datos matrícula en BD,US011,RF003.5 - Validación temporal,1. Lógica validación vigencia 2. Indicadores visuales estado 3. Alertas matrícula expirada 4. Configuración períodos académicos,20h,Alta,Senior Mobile Developer (iOS/Android),Pendiente,US011
16,Detectar pulseras NFC,Como Sistema quiero detectar pulseras NFC automáticamente para identificar estudiantes en proximidad,"Detección en 10cm, lectura automática, feedback visual/sonoro",13,Sprint 1,Hardware NFC,-,RF004.1 - Core tecnológico,1. Driver NFC reader 2. Algoritmo detección 10cm 3. Feedback visual/auditivo 4. Calibración distancia 5. Pruebas hardware,52h,Crítica,Mobile Software Architect (iOS/Android),En Progreso,Hardware NFC
17,Leer ID único pulsera,Como Sistema quiero leer ID único en rango 10cm para identificar cada pulsera específicamente,"Lectura precisa en 10cm, ID único válido, manejo errores lectura",8,Sprint 1,NFC funcional,US016,RF004.2 - Precisión crítica,1. Algoritmo lectura precisa 2. Validación ID único 3. Manejo errores lectura 4. Logs de eventos NFC,32h,Crítica,Mobile Software Architect (iOS/Android),Pendiente,US016
18,Asociar ID con estudiante,Como Sistema quiero asociar ID pulsera con estudiante para vincular identidad física con digital,"Mapping ID-estudiante, validación asociación, manejo no encontrados",8,Sprint 2,BD pulseras-estudiantes,"US017, US011",RF004.3 - Vinculación datos,1. Tabla mapping pulsera-estudiante 2. CRUD asociaciones 3. Validaciones integridad 4. Manejo casos no encontrados,32h,Alta,Senior Mobile Developer (iOS/Android),Pendiente,"US017, US011"
19,Mostrar detecciones tiempo real,Como Guardia quiero ver dispositivos detectados en tiempo real para monitorear actividad NFC,"Lista tiempo real, actualización automática, indicadores de estado",5,Sprint 2,Sistema NFC activo,US016,RF004.4 - Monitoreo visual,1. Interface tiempo real 2. WebSocket para updates 3. Indicadores estado visual 4. Lista detecciones activas,20h,Media,Mid Tester,Pendiente,US016
20,Múltiples detecciones,Como Sistema quiero manejar múltiples detecciones simultáneas para procesar varios estudiantes a la vez,"Queue detecciones, procesamiento secuencial, priorización por tiempo",13,Sprint 2,NFC multi-tag,US016,RF004.5 - Escalabilidad,1. Queue procesamiento async 2. Algoritmo priorización 3. Manejo concurrencia 4. Optimización rendimiento 5. Stress testing,52h,Alta,Mobile Software Architect (iOS/Android),Pendiente,US016
21,Validar ID pulsera,Como Sistema quiero validar ID contra BD para verificar autenticidad de pulsera,"Query BD pulseras, validación existencia, manejo IDs inválidos",5,Sprint 2,BD pulseras registradas,US018,RF005.1 - Validación seguridad,1. Query validación BD 2. Cache pulseras válidas 3. Manejo IDs inválidos 4. Logs seguridad,20h,Alta,Senior Mobile Developer (iOS/Android),Pendiente,US018
22,Verificar estado activo,Como Sistema quiero verificar estado activo del estudiante para autorizar solo estudiantes vigentes,"Check estado en BD, validación temporal, indicador status",3,Sprint 2,Datos estudiantes actualizados,US013,RF005.2 - Control acceso,1. Verificación estado activo 2. Validación temporal matrícula 3. Indicadores status UI,12h,Alta,Mid Tester,Pendiente,US013
23,Mostrar datos estudiante,Como Guardia quiero ver datos básicos del estudiante para confirmar identidad visualmente,"Display nombre, foto, carrera, ID claramente visible",3,Sprint 2,Interface usuario,US014,RF005.3 - Verificación visual,1. Componente display estudiante 2. Carga de foto estudiante 3. Formato datos legible 4. Responsive design,12h,Media,Mid Tester,Pendiente,US014
24,Autorización manual,Como Guardia quiero autorizar/denegar manualmente para tener control final sobre acceso,"Botones claros Autorizar/Denegar, confirmación visual, registro decisión",5,Sprint 2,Interface control acceso,US023,RF005.4 - Control humano,1. Botones Autorizar/Denegar 2. Modal confirmación 3. Registro decisión BD 4. Feedback visual inmediato,20h,Crítica,Senior Mobile Developer (iOS/Android),Pendiente,US023
25,Registrar decisión timestamp,Como Sistema quiero registrar decisión con timestamp para mantener trazabilidad completa,"Timestamp preciso, ID guardia, decisión tomada, persistencia BD",3,Sprint 2,BD eventos,US024,RF005.5 - Auditoría,1. Modelo entidad evento 2. Timestamp UTC preciso 3. Persistencia BD 4. Índices optimización,12h,Media,Senior Mobile Developer (iOS/Android),Pendiente,US024
26,Registrar accesos,Como Sistema quiero registrar accesos entrada/salida para llevar control de movimientos,"Registro tipo acceso, timestamp, estudiante, guardia, punto control",5,Sprint 2,BD eventos acceso,US025,RF006.1 - Log principal,1. Esquema BD eventos acceso 2. Service registro accesos 3. Validación datos obligatorios 4. Índices rendimiento,20h,Crítica,Mobile Software Architect (iOS/Android),Pendiente,US025
27,"Guardar fecha, hora, datos","Como Sistema quiero guardar fecha, hora, estudiante, guardia y decisión para tener registro completo del evento","Persistencia completa datos, integridad referencial, backup automático",3,Sprint 2,Esquema BD eventos,US026,RF006.2 - Persistencia datos,1. Integridad referencial FK 2. Triggers BD auditoría 3. Backup automático 4. Validación consistencia,12h,Media,Mobile Software Architect (iOS/Android),Pendiente,US026
28,Distinguir entrada/salida,Como Sistema quiero distinguir entrada/salida de campus para saber quién está dentro,"Campo tipo movimiento, lógica entrada/salida, validación coherencia",5,Sprint 2,Definición puntos entrada/salida,US026,RF006.3 - Control presencia,1. Enum tipo movimiento 2. Lógica entrada/salida 3. Validación coherencia temporal 4. Cálculo estudiantes en campus,20h,Alta,Senior Mobile Developer (iOS/Android),Pendiente,US026
29,Registrar ubicación,Como Sistema quiero registrar ubicación/punto de control para saber por dónde accedió,"ID punto control, coordenadas si aplica, descripción ubicación",3,Sprint 2,Catálogo puntos control,US008,RF006.4 - Geolocalización,1. Campo punto control en eventos 2. Coordenadas GPS opcionales 3. Descripción ubicación 4. Mapa puntos control,12h,Media,Mid Tester,Pendiente,US008
30,Historial completo,Como Sistema quiero mantener historial completo de movimientos para análisis y auditorías,"Almacenamiento permanente, índices optimizados, políticas retención",5,Sprint 2,Arquitectura BD escalable,US026,RF006.5 - Archivo histórico,1. Particionamiento tabla eventos 2. Índices optimizados 3. Políticas retención datos 4. Archivado histórico,20h,Media,Mobile Software Architect (iOS/Android),Pendiente,US026
31,Lista estudiantes hoy,Como Guardia quiero ver lista de estudiantes que ingresaron hoy para monitorear actividad diaria,"Query fecha actual, lista ordenada por hora, filtros básicos",5,Sprint 3,BD eventos poblada,US030,RF007.1 - Consulta diaria,1. Query estudiantes día actual 2. Ordenamiento por hora 3. Filtros básicos 4. Paginación resultados,20h,Media,Mid Tester,Pendiente,US030
32,Lista estudiantes en campus,Como Guardia quiero ver estudiantes actualmente en campus para conocer ocupación actual,"Lógica entrada-salida, estado actual, contador total",8,Sprint 3,Sistema entrada/salida,US028,RF007.2 - Estado tiempo real,1. Algoritmo estudiantes actuales 2. Query estado tiempo real 3. Contador ocupación 4. Actualización automática,32h,Alta,Senior Mobile Developer (iOS/Android),Pendiente,US028
33,Buscar estudiante,Como Guardia quiero buscar estudiante por nombre o ID para encontrar información específica,"Search box, autocompletado, resultados múltiples, datos completos",5,Sprint 3,Interface búsqueda,US014,RF007.3 - Búsqueda rápida,1. Componente search box 2. Autocompletado con AJAX 3. Búsqueda full-text 4. Display resultados múltiples,20h,Media,Mid Tester,Pendiente,US014
34,Historial accesos recientes,Como Guardia quiero ver historial de accesos recientes para revisar actividad pasada,"Lista cronológica, últimas 24h/48h, detalles completos",5,Sprint 3,Datos históricos,US030,RF007.4 - Historial reciente,1. Query accesos recientes 2. Filtro temporal configurable 3. Lista cronológica 4. Detalles completos evento,20h,Baja,Mid Tester,Pendiente,US030
35,Filtrar por carrera y fechas,Como Guardia quiero filtrar por carrera o rango de fechas para análisis específico de datos,"Filtros múltiples, date picker, dropdown carreras, combinaciones",8,Sprint 3,Datos carrera disponibles,US034,RF007.5 - Filtros avanzados,1. Componentes filtro UI 2. Date picker rango fechas 3. Dropdown carreras 4. Combinación múltiples filtros,32h,Media,Senior Mobile Developer (iOS/Android),Pendiente,US034
36,Recopilar datos ML,Como Sistema quiero recopilar datos entrada/salida por horarios para alimentar algoritmos ML,"ETL datos históricos, estructura para ML, limpieza datos",8,Sprint 4,Mínimo 3 meses datos,US030,RF008.1 - Preparación ML,1. ETL pipeline datos 2. Estructura dataset ML 3. Limpieza y normalización 4. Validación calidad datos,32h,Media,Scrum Master,Pendiente,US030
37,Analizar patrones flujo,Como Sistema quiero analizar patrones de flujo de estudiantes para identificar tendencias,"Algoritmos análisis temporal, detección patrones, visualización tendencias",13,Sprint 4,Datos ML procesados,US036,RF008.2 - Análisis estadístico,1. Algoritmos análisis temporal 2. Detección patrones estadísticos 3. Visualización tendencias 4. Métricas estadísticas 5. Validación modelos,52h,Media,Scrum Master,Pendiente,US036
38,Predecir horarios pico,Como Sistema quiero predecir horarios pico entrada/salida para anticipar congestión,"Modelo predictivo, precisión >80%, predicción 24h adelante",13,Sprint 4,Modelo ML entrenado,US037,RF008.3 - Predicción temporal,1. Modelo predictivo ML 2. Validación precisión >80% 3. Predicción 24h adelante 4. Métricas evaluación modelo 5. Pipeline entrenamiento,52h,Alta,Scrum Master,Pendiente,US037
39,Sugerir horarios buses,Como Sistema quiero sugerir horarios óptimos de buses para optimizar transporte universitario,"Algoritmo optimización, sugerencias horarios, métricas eficiencia",13,Sprint 4,Predicciones confiables,US038,RF008.4 - Optimización transporte,1. Algoritmo optimización horarios 2. Sugerencias automáticas 3. Métricas eficiencia 4. Interface sugerencias 5. Validación impacto,52h,Media,Scrum Master,Pendiente,US038
40,Alertas congestión,Como Administrador quiero recibir alertas de congestión prevista para tomar medidas preventivas,"Sistema alertas automático, thresholds configurables, notificaciones múltiples",8,Sprint 4,Sistema notificaciones,US038,RF008.5 - Alertas proactivas,1. Sistema alertas automático 2. Configuración thresholds 3. Múltiples canales notificación 4. Dashboard alertas,32h,Alta,Mobile Software Architect (iOS/Android),Pendiente,US038
41,Regresión lineal,Como Sistema quiero implementar regresión lineal para modelar relaciones lineales en datos,"Algoritmo regresión, R² > 0.7, validación cruzada, métricas error",8,Sprint 4,Librería ML,US036,RF009.1 - Algoritmo básico,"1. Implementar regresión lineal 2. Validación cruzada 3. Métricas R², RMSE 4. Optimización hiperparámetros",32h,Media,Scrum Master,Pendiente,US036
42,Clustering,Como Sistema quiero implementar clustering para agrupar patrones similares,"K-means o similar, número óptimo clusters, validación silhouette",8,Sprint 4,Datos normalizados,US036,RF009.2 - Segmentación,1. Algoritmo K-means 2. Elbow method clusters óptimos 3. Validación silhouette 4. Visualización clusters,32h,Baja,Scrum Master,Pendiente,US036
43,Series temporales,Como Sistema quiero implementar series temporales para modelar evolución temporal,"ARIMA o similar, estacionalidad detectada, forecast precisión >75%",13,Sprint 4,Datos temporales suficientes,US036,RF009.3 - Predicción temporal,1. Modelo ARIMA/LSTM 2. Detección estacionalidad 3. Forecast precisión >75% 4. Validación temporal 5. Pipeline predicción,52h,Alta,Scrum Master,Pendiente,US036
44,Entrenar con históricos,Como Sistema quiero entrenar modelo con datos históricos mínimo 3 meses para obtener modelo confiable,"Dataset ≥3 meses, train/test split, métricas validación",8,Sprint 4,3+ meses datos limpios,"US041, US042, US043",RF009.4 - Entrenamiento robusto,1. Preparación dataset ≥3 meses 2. Train/validation/test split 3. Entrenamiento modelos 4. Métricas validación,32h,Alta,Scrum Master,Pendiente,"US041, US042, US043"
45,Actualización semanal modelo,Como Sistema quiero actualizar modelo semanalmente para mantener precisión con datos recientes,"Job automático semanal, reentrenamiento incremental, validación performance",8,Sprint 4,Scheduler automatizado,US044,RF009.5 - Mantenimiento modelo,1. Job scheduler semanal 2. Reentrenamiento incremental 3. Validación performance 4. Deploy automático modelo,32h,Media,Mobile Software Architect (iOS/Android),Pendiente,US044
46,Dashboard general accesos,Como Administrador quiero visualizar dashboard general de accesos para monitorear sistema en tiempo real,"Métricas tiempo real, gráficos interactivos, responsive design",13,Sprint 5,Framework web,US030,RF010.1 - Interface principal,1. Dashboard responsive 2. Métricas tiempo real 3. Gráficos interactivos Chart.js 4. WebSocket updates 5. Filtros temporales,52h,Crítica,Mobile Software Architect (iOS/Android),Pendiente,US030
47,Gráficos flujo horarios,Como Administrador quiero ver gráficos de flujo por horarios y días para identificar patrones visualmente,"Charts interactivos, filtros temporales, drill-down por día/hora",8,Sprint 5,Librería charting,US046,RF010.2 - Visualización temporal,1. Charts flujo horarios 2. Filtros temporales 3. Drill-down interactivo 4. Exportación gráficos,32h,Media,Mid Tester,Pendiente,US046
48,Predicciones modelo ML,Como Administrador quiero visualizar predicciones del modelo ML para planificar basado en predicciones,"Gráficos predicción vs real, intervalos confianza, actualización automática",8,Sprint 5,Modelo ML productivo,"US044, US046",RF010.3 - Predicciones visuales,1. Gráficos predicción vs real 2. Intervalos confianza 3. Actualización automática 4. Métricas precisión visual,32h,Alta,Senior Mobile Developer (iOS/Android),Pendiente,"US044, US046"
49,Reportes eficiencia buses,Como Administrador quiero ver reportes de eficiencia de buses para evaluar impacto de optimizaciones,"Métricas utilización, comparativo antes/después, ROI calculado",8,Sprint 5,Datos eficiencia buses,"US039, US046",RF010.4 - Análisis eficiencia,1. Métricas utilización buses 2. Comparativo antes/después 3. Cálculo ROI 4. Reportes visuales,32h,Media,Scrum Master,Pendiente,"US039, US046"
50,Exportar reportes PDF/Excel,Como Administrador quiero exportar reportes en PDF/Excel para compartir con otros departamentos,"Exportación PDF con gráficos, Excel con datos raw, formato profesional",5,Sprint 5,Librerías exportación,US046,RF010.5 - Distribución reportes,1. Exportación PDF reportes 2. Exportación Excel datos 3. Formato profesional 4. Templates personalizables,20h,Baja,Mid Tester,Pendiente,US046
51,Estudiantes más activos,Como Administrador quiero ver reporte de estudiantes más activos para identificar usuarios frecuentes,"Ranking por accesos, período configurable, datos estadísticos",5,Sprint 5,Análisis estadístico,US046,RF011.1 - Análisis usuarios,1. Query ranking accesos 2. Filtros período configurable 3. Estadísticas descriptivas 4. Visualización ranking,20h,Baja,Mid Tester,Pendiente,US046
52,Horarios pico ML,Como Administrador quiero ver reporte de horarios pico por ML para validar predicciones del modelo,"Comparación ML vs real, precisión por horario, ajustes sugeridos",8,Sprint 5,Modelo ML validado,US048,RF011.2 - Validación ML,1. Comparación predicción vs real 2. Métricas precisión horario 3. Sugerencias ajustes modelo 4. Gráficos validación,32h,Media,Senior Mobile Developer (iOS/Android),Pendiente,US048
53,Precisión modelo ML,Como Administrador quiero ver reporte de precisión del modelo ML para monitorear calidad predicciones,"Métricas precisión, recall, F1-score, evolución temporal",5,Sprint 5,Sistema métricas ML,US044,RF011.3 - Calidad modelo,"1. Métricas precisión, recall, F1 2. Evolución temporal métricas 3. Dashboard calidad modelo 4. Alertas degradación",20h,Media,Scrum Master,Pendiente,US044
54,Uso buses sugerido vs real,Como Administrador quiero ver reporte uso buses sugerido vs real para evaluar adopción de sugerencias,"Comparativo horarios sugeridos vs implementados, impacto medido",8,Sprint 5,Tracking implementación,US049,RF011.4 - Adopción sugerencias,1. Tracking sugerencias implementadas 2. Comparativo sugerido vs real 3. Métricas adopción 4. Análisis impacto eficiencia,32h,Media,Scrum Master,Pendiente,US049
55,Comparativo antes/después,Como Administrador quiero ver reporte comparativo antes/después implementación para demostrar ROI del proyecto,"Métricas pre/post sistema, KPIs impacto, análisis costo-beneficio",8,Sprint 5,Datos baseline pre-sistema,US046,RF011.5 - ROI proyecto,1. Métricas baseline pre-sistema 2. KPIs post-implementación 3. Análisis costo-beneficio 4. Dashboard ROI ejecutivo,32h,Alta,Scrum Master,Pendiente,US046
56,Sincronización app-servidor,Como Sistema quiero sincronizar app móvil con servidor central para mantener datos consistentes,"Sync bidireccional, manejo conflictos, versionado datos",13,Sprint 3,API REST completa,-,RF012.1 - Arquitectura distribuida,1. API REST sincronización 2. Manejo conflictos datos 3. Versionado datos 4. Queue sincronización 5. Logs de sincronización,52h,Crítica,Mobile Software Architect (iOS/Android),Pendiente,API REST completa
57,Funcionalidad offline,Como Guardia quiero usar app offline con sincronización posterior para trabajar sin conexión internet,"Cache local, queue eventos offline, sync automático al reconectar",13,Sprint 3,Storage local app,US056,RF012.2 - Resilencia conectividad,1. Storage local SQLite 2. Queue eventos offline 3. Detección conexión 4. Sync automático reconexión 5. Resolución conflictos,52h,Alta,Mobile Software Architect (iOS/Android),Pendiente,US056
58,Web y app mismo servidor,Como Sistema quiero que web y app consuman mismo servidor para mantener consistencia datos,"API unificada, misma BD, endpoints compatibles",8,Sprint 5,API centralizada,US056,RF012.3 - Unificación backend,1. API unificada web/app 2. Endpoints compatibles 3. Autenticación unificada 4. Documentación API,32h,Media,Mobile Software Architect (iOS/Android),Pendiente,US056
59,Múltiples guardias simultáneos,Como Sistema quiero soportar múltiples guardias simultáneos para escalabilidad operacional,"Concurrencia manejada, locks optimistas, resolución conflictos",8,Sprint 3,BD con concurrencia,US056,RF012.4 - Escalabilidad usuarios,1. Manejo concurrencia BD 2. Locks optimistas 3. Resolución conflictos 4. Testing concurrencia,32h,Alta,Mobile Software Architect (iOS/Android),Pendiente,US056
60,Actualizaciones tiempo real,Como Usuario quiero recibir actualizaciones tiempo real entre app y web para información siempre actualizada,"WebSockets o polling, notificaciones push, latencia <2s",13,Sprint 5,Sistema notificaciones,US058,RF012.5 - Tiempo real,1. WebSockets servidor 2. SignalR implementación 3. Notificaciones push 4. Optimización latencia <2s 5. Fallback polling,52h,Alta,Mobile Software Architect (iOS/Android),Pendiente,US058
,,,,,,,,,,,,,,
Cesar Fabián Chavez Linares,,,,,,,,,,,,,,
Sebastián Arce Bracamonte,,,,,,,,,,,,,,
Angel Gadiel Hernandéz Cruz,,,,,,,,,,,,,,